ticker,exchange,security_type,status,ten_doanh_nghiep,loai_hinh,icb_l4,ten_icb_l4,icb_l3
ASIAGF,HOSE,etf,listed,,,,,
E1SSHN30,HNX,etf,listed,,,,,
E1VFVN30,HOSE,etf,listed,Quỹ ETF DCVFMVN30,QU,8985,Quỹ đầu tư,8980
FUCTVGF1,HOSE,etf,listed,,,,,
FUCTVGF2,HOSE,etf,listed,,,,,
FUCVREIT,HOSE,etf,listed,Quỹ Đầu tư Bất động sản Techcom Việt Nam,QU,8985,Quỹ đầu tư,8980
FUEABVND,HOSE,etf,listed,Quỹ ETF ABFVN DIAMOND,QU,8985,Quỹ đầu tư,8980
FUEBFVND,HOSE,etf,listed,Quỹ ETF BVFVN DIAMOND,QU,8985,Quỹ đầu tư,8980
FUEDCMID,HOSE,etf,listed,Quỹ ETF DCVFMVNMIDCAP,QU,8985,Quỹ đầu tư,8980
FUEFCV50,HOSE,etf,listed,Quỹ ETF FPT CAPITAL VNX50,QU,8985,Quỹ đầu tư,8980
FUEIP100,HOSE,etf,listed,Quỹ ETF IPA PARTNER VN100,QU,8985,Quỹ đầu tư,8980
FUEKIV30,HOSE,etf,listed,Quỹ ETF KIM GROWTH VN30,QU,8985,Quỹ đầu tư,8980
FUEKIVFS,HOSE,etf,listed,Quỹ ETF KIM GROWTH VNFINSELECT,QU,8985,Quỹ đầu tư,8980
FUEMAV30,HOSE,etf,listed,Quỹ ETF MAFM VN30,QU,8985,Quỹ đầu tư,8980
FUEMAVND,HOSE,etf,listed,Quỹ ETF MAFM VNDIAMOND,QU,8985,Quỹ đầu tư,8980
FUEMITEC,HOSE,etf,listed,Quỹ ETF VINACAPITAL VNMITECH,QU,8985,Quỹ đầu tư,8980
FUEPHVNS,HOSE,etf,listed,Quỹ ETF PHFM VNSHINE,QU,8985,Quỹ đầu tư,8980
FUESSV30,HOSE,etf,listed,Quỹ ETF SSIAM VN30,QU,8985,Quỹ đầu tư,8980
FUESSV50,HOSE,etf,listed,Quỹ ETF SSIAM VNX50,QU,8985,Quỹ đầu tư,8980
FUESSVFL,HOSE,etf,listed,Quỹ ETF SSIAM VNFIN LEAD,QU,8985,Quỹ đầu tư,8980
FUETCC50,HOSE,etf,listed,Quỹ ETF TECHCOM CAPITAL VNX50,QU,8985,Quỹ đầu tư,8980
FUETPVND,HOSE,etf,listed,Quỹ ETF VFCVN DIAMOND,QU,8985,Quỹ đầu tư,8980
FUEVCDIV,HOSE,etf,listed,,,,,
FUEVFVND,HOSE,etf,listed,Quỹ ETF DCVFMVN DIAMOND,QU,8985,Quỹ đầu tư,8980
FUEVN100,HOSE,etf,listed,Quỹ ETF VINACAPITAL VN100,QU,8985,Quỹ đầu tư,8980
FUEVN50G,HOSE,etf,listed,Quỹ ETF VinaCapital VN50 Growth,QU,8985,Quỹ đầu tư,8980
MAFPF1,HOSE,etf,listed,,,,,
PRUBF1,HOSE,etf,listed,,,,,
VFMVF1,HOSE,etf,listed,,,,,
VFMVF4,HOSE,etf,listed,,,,,
VFMVFA,HOSE,etf,listed,,,,,
FUCTVGF4,HOSE,fund_cert,delisted,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,QU,8985,Quỹ đầu tư,8980
FUCTVGF5,HOSE,fund_cert,delisted,Quỹ Đầu tư Tăng trưởng Thiên Việt 5,QU,8985,Quỹ đầu tư,8980
FUEKIVND,HOSE,fund_cert,delisted,Quỹ ETF KIM GROWTH VN DIAMOND,QU,8985,Quỹ đầu tư,8980
HNX30,HNX,index,listed,,,,,
HNXFIN,HNX,index,listed,,,,,
HNXINDEX,HNX,index,listed,,,,,
HNXMAN,HNX,index,listed,,,,,
HNXMSCAP,HNX,index,listed,,,,,
UPINDEX,UPCOM,index,listed,,,,,
VN100,HOSE,index,listed,,,,,
VN30,HOSE,index,listed,,,,,
VNALL,HOSE,index,listed,,,,,
VNDIAMOND,HOSE,index,listed,,,,,
VNFINLEAD,HOSE,index,listed,,,,,
VNFINSELECT,HOSE,index,listed,,,,,
VNINDEX,HOSE,index,listed,,,,,
VNMID,HOSE,index,listed,,,,,
VNSI,HOSE,index,listed,,,,,
VNSML,HOSE,index,listed,,,,,
VNX50,HOSE,index,listed,,,,,
VNXALL,HOSE,index,listed,,,,,
EGL,UPCOM,stock,delisted,Công ty Cổ phần Môi Trường Đô Thị Gia Lâm,CT,2799,Chất thải & Môi trường,2790
A32,UPCOM,stock,listed,Công ty Cổ phần 32,CT,3765,Giầy dép,3760
AAA,HOSE,stock,listed,Công ty Cổ phần Nhựa An Phát Xanh,CT,1353,"Nhựa, cao su & sợi",1350
AAH,UPCOM,stock,listed,Công ty Cổ phần Hợp Nhất,CT,1771,Khai thác Than,1770
AAM,HOSE,stock,listed,Công ty Cổ Phần Thủy Sản MeKong,CT,3573,Nuôi trồng nông & hải sản,3570
AAN,HOSE,stock,listed,Công ty Cổ phần Lương thực A An,CT,3573,Nuôi trồng nông & hải sản,3570
AAS,UPCOM,stock,listed,Công ty Cổ phần Chứng khoán SmartInvest,CK,8777,Môi giới chứng khoán,8770
AAT,HOSE,stock,listed,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,CT,3763,Hàng May mặc,3760
AAV,UPCOM,stock,listed,Công ty Cổ phần AAV Group,CT,8633,Bất động sản,8630
ABA,UPCOM,stock,listed,,,,,
ABB,UPCOM,stock,listed,Ngân hàng Thương mại Cổ phần An Bình,NH,8355,Ngân hàng,8350
ABC,UPCOM,stock,listed,Công ty Cổ phần Truyền thông VMG,CT,6575,Viễn thông di động,6570
