icb_l3,ten_icb_l3,nhom_icb_l2,so_dn,mot_so_ma,nganh_cua_toi
2350,Xây dựng và Vật liệu,Xây dựng và Vật liệu,301,ACC ACE ACS ADP ALV BAX BCC BCE BDT BHC BMK BMP,""
8630,Bất động sản,Bất động sản,124,AAV AGG API BCM BVL C21 CCL CCS CEO CK8 CKG CNT,""
2770,Vận tải,Hàng & Dịch vụ Công nghiệp,110,ACV ALC ASG CAG CCP CCR CCT CDN CIA CLL CMP CPI,""
3570,Sản xuất thực phẩm,Thực phẩm và đồ uống,100,AAM AAN ABT ACL AGF AGM AIG ANT ANV APF APT ASM,""
7570,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",88,ASP BDW BGW BMF BNW BTW BWA BWE BWS CCI CHS CLW,""
1350,Hóa chất,Hóa chất,70,AAA ABS APP AVG BFC BQP BRC BRR BT1 CPC CSV DAG,""
2790,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,57,ABR AMS ARM BMD BRS BTU CAR CFM DNE DUS DVT HEC,""
3760,Hàng cá nhân,Hàng cá nhân & Gia dụng,57,A32 AAT ADS AG1 BBT BDG BMG BVN CET DCG DM7 EVE,""
7530,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",53,ANI AVC BGE BHA BSA BTP CHP DNC DNH DRL DTK GE2,""
4570,Dược phẩm,Y tế,51,AGP AMP APC BCP BIO CDP CNC DAN DBD DBM DBT DCL,""
8770,Dịch vụ tài chính,Dịch vụ tài chính,49,AAS ABW AGR APG APS ART BMS BSI BVS CSI CTS DCV,""
5750,Du lịch & Giải trí,Du lịch và Giải trí,47,ATS BCV BLN BSG BTV CTC DAH DLD DLT DNT DSD DSN,""
1750,Kim loại,Tài nguyên Cơ bản,46,BCA BVG CBI CLI DFC DTL GDA HLA HMC HMG HPG HSG,""
3530,Bia và đồ uống,Thực phẩm và đồ uống,43,BBM BHG BHH BHK BHN BHP BQB BSD BSH BSL BSP BSQ,""
1770,Khai khoáng,Tài nguyên Cơ bản,37,AAH ACM AMC ATG BCB BKC BMC BMJ CLM CST DHM GLC,""
2750,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,32,APL CKA CKD CMC CMK CTB CTT FBC FSO FT1 IME ITS,""
5550,Truyền thông,Truyền thông,31,ADC ADG ALT BED DAD DAE DST EBS ECI EID FHS FOC,""
8350,Ngân hàng,Ngân hàng,28,ABB ACB BAB BID BVB CTG EIB HDB KLB LPB MBB MSB,""
2720,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,26,APH BAL BBH BBS BPC BTG BXH DPC HBD HPB ILS INN,""
8980,Quỹ đầu tư,Dịch vụ tài chính,24,E1VFVN30 FUCVREIT FUEABVND FUEBFVND FUEDCMID FUEFCV50 FUEIP100 FUEKIV30 FUEKIVFS FUEMAV30 FUEMAVND FUEMITEC,""
2730,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,24,AME BTH CJC DHP EME EMG GEE GEX HLO HLS HPO HTE,""
5370,Bán lẻ,Bán lẻ,23,AST BTT CEN CMV COM CPH DGW DKC DMX FRT HFX HTM,""
1730,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,20,ACG CAP DHC FRC FRM GTA GVT HAP HHP MDF MZG PIS,""
3350,Ô tô và phụ tùng,Ô tô và phụ tùng,18,CSM CTF DAS DRC FTI GGG GMA HAX HHS HTL HUT PTM,""
9570,Thiết bị và Phần cứng,Công nghệ Thông tin,15,CKV ELC KST LTC ONE PMJ PMT POT SAM SMT ST8 VEC,""
8530,Bảo hiểm phi nhân thọ,Bảo hiểm,12,ABI AIC BHI BIC BLI BMI MIG PGI PRE PTI PVI VNR,""
9530,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,12,CMG CMT FPT HPT ICT ITD SBD SGT SRB TST UNI VLA,""
4530,Thiết bị và Dịch vụ Y tế,Y tế,11,AMV CVN DNM DTH JVC MEF MRF SRA TNH TTD YTC,""
0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Dầu khí,9,PEQ POS PTV PVB PVC PVD PVE PVS TOS,""
3720,Hàng gia dụng,Hàng cá nhân & Gia dụng,9,BKG DCS DQC GDT KSD RAL SHE TLG XHC,""
6530,Viễn thông cố định,Viễn thông,5,FOX PAI PIA PTP TTN,""
3780,Thuốc lá,Hàng cá nhân & Gia dụng,4,CLC HJC NST VTJ,""
5330,Phân phối thực phẩm & dược phẩm,Bán lẻ,4,AFX AGX FHN TH1,""
6570,Viễn thông di động,Viễn thông,3,ABC MFS VGI,""
0530,Sản xuất Dầu khí,Dầu khí,3,BSR OIL PLX,""
3740,Hàng hóa giải trí,Hàng cá nhân & Gia dụng,3,BEL GLT NHT,""
8570,Bảo hiểm nhân thọ,Bảo hiểm,1,BVH,""
